Player Name,Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s
"Hardik Pandya
MI",MI,216,14,13,1,46,18,151,143.04,0,0,17,11
"Shahbaz Ahmed
SRH",SRH,215,16,12,3,59*,23.89,166,129.51,0,1,7,13
"Rilee Rossouw
PBKS",PBSK,211,8,8,0,61,26.38,116,181.89,0,1,25,11
"David Miller
GT",GT,210,9,9,3,55,35,139,151.07,0,1,20,8
"Prithvi Shaw
DC",DC,198,8,8,0,66,24.75,121,163.63,0,1,30,5
"Dhruv Jurel
RR",RR,195,15,11,3,56*,24.38,141,138.29,0,2,18,7
"Ashutosh Sharma
PBKS",PBSK,189,11,9,2,61,27,113,167.25,0,1,10,15
"Rahul Tewatia
GT",GT,188,12,9,2,36*,26.86,129,145.73,0,0,24,5
"Jitesh Sharma
PBKS",PBSK,187,14,12,1,32*,17,142,131.69,0,0,9,12
"Shai Hope
DC",DC,183,9,9,1,41,22.88,122,150,0,0,12,12
"Abdul Samad
SRH",SRH,182,16,12,2,37*,18.2,108,168.51,0,0,15,11
"Rinku Singh
KKR",KKR,168,15,11,2,26,18.67,113,148.67,0,0,13,8
"David Warner
DC",DC,168,8,8,0,52,21,125,134.4,0,1,17,10
"Rahul Tripathi
SRH",SRH,165,6,6,0,55,27.5,115,143.47,0,1,18,6
"Angkrish Raghuvanshi
KKR",KKR,163,10,7,0,54,23.29,105,155.23,0,1,16,8
"MS Dhoni
CSK",CSK,161,14,11,8,37*,53.67,73,220.54,0,0,14,13
"Shikhar Dhawan
PBKS",PBSK,152,5,5,0,70,30.4,121,125.61,0,1,18,4
"Deepak Hooda
LSG",LSG,145,11,9,1,50,18.13,105,138.09,0,1,16,3
"Naman Dhir
MI",MI,140,7,7,1,62*,23.33,79,177.21,0,1,12,10
"Pat Cummins
SRH",SRH,136,16,10,4,35*,22.67,95,143.15,0,0,9,8
"Wriddhiman Saha
GT",GT,136,9,9,0,39,15.11,115,118.26,0,0,18,3
"Krunal Pandya
LSG",LSG,133,14,12,8,43*,33.25,105,126.66,0,0,8,5
"Moeen Ali
CSK",CSK,128,8,5,0,56,25.6,98,130.61,0,1,7,8
"Shahrukh Khan
GT",GT,127,7,7,0,58,18.14,75,169.33,0,1,9,9
"Ramandeep Singh
KKR",KKR,125,15,9,5,35,31.25,62,201.61,0,0,5,12
"Mahipal Lomror
RCB",RCB,125,10,10,2,33,15.63,68,183.82,0,0,9,9
"Shimron Hetmyer
RR",RR,113,12,9,4,27*,22.6,69,163.76,0,0,9,7
"Liam Livingstone
PBKS",PBKS,111,7,7,2,38*,22.2,78,142.3,0,0,8,7
"Nehal Wadhera
MI",MI,109,6,6,0,49,18.17,84,129.76,0,0,9,6
"Rovman Powell
RR",RR,103,10,7,1,27,17.17,68,151.47,0,0,10,6
"Rashid Khan
GT",GT,102,12,8,3,31,20.4,71,143.66,0,0,11,3
"Anuj Rawat
RCB",RCB,98,5,5,1,48,24.5,77,127.27,0,0,10,3
"Ravichandran Ashwin
RR",RR,86,15,9,3,29,14.33,74,116.21,0,0,5,4
"Arshad Khan
LSG",LSG,83,4,4,2,58*,41.5,54,153.7,0,1,6,5
"Vijay Shankar
GT",GT,83,7,7,2,17,16.6,72,115.27,0,0,7,2
"Harpreet Brar
PBKS",PBKS,75,13,7,5,29,37.5,54,138.88,0,0,8,2
"Dewald Brevis
MI",MI,69,3,3,0,46,23,59,116.94,0,0,3,5
"Mayank Agarwal
SRH",SRH,64,4,4,0,32,16,57,112.28,0,0,8,1
"Rahmanullah Gurbaz
KKR",KKR,62,3,2,0,39,31,46,134.78,0,0,7,4
"Mitchell Marsh
DC",DC,61,4,4,0,23,15.25,38,160.52,0,0,9,3
"Atharva Taide
PBKS",PBKS,61,2,2,0,46,30.5,39,156.41,0,0,7,2
"Romario Shepherd
MI",MI,57,6,5,3,39*,28.5,21,271.42,0,0,5,5
"Glenn Maxwell
RCB",RCB,52,10,9,0,28,5.78,43,120.93,0,0,6,2
"Sameer Rizwi
CSK",CSK,51,8,5,1,21,12.75,43,118.6,0,0,4,2
"Tom Kohler- Cadmore
RR",RR,48,4,3,0,20,16,54,88.88,0,0,7,1
"Kuldeep Yadav
DC",DC,47,11,5,2,35*,15.67,41,114.63,0,0,6,1
"Sikandar Raza
PBKS",PBKS,43,2,2,0,28,21.5,38,113.15,0,0,2,2
"Manish Pandey
KKR",KKR,42,1,1,0,42,42,31,135.48,0,0,2,2
"Azmatullah Omarzai
GT",GT,42,7,4,0,17,10.5,33,127.27,0,0,2,2
"Nitish Rana
KKR",KKR,42,2,2,0,33,21,34,123.52,0,0,5,1
"Devdutt Padikkal
LSG",LSG,38,7,7,0,13,5.43,53,71.69,0,0,3,0
"Swapnil Singh
RCB",RCB,37,7,5,3,15*,18.5,21,176.19,0,0,3,3
"Mohammad Nabi
MI",MI,35,7,5,1,23,8.75,31,112.9,0,0,2,2
"Shubham Dubey
RR",RR,33,4,3,1,25,16.5,19,173.68,0,0,3,2
"Karn Sharma
RCB",RCB,31,9,3,0,20,10.33,15,206.66,0,0,2,3
"Rasikh Salam
DC",DC,28,8,4,0,10,7,30,93.33,0,0,4,0
"Kane Williamson
GT",GT,27,2,2,0,26,13.5,27,100,0,0,4,0
"Harpreet Bhatia
PBKS",PBKS,27,2,2,0,14,13.5,34,79.41,0,0,2,0
"Suyash S Prabhudessai
RCB",RCB,24,1,1,0,24,24,18,133.33,0,0,3,0
"Jaydev Unadkat
SRH",SRH,24,11,5,2,8*,8,26,92.3,0,0,2,1
"Tanush Kotian
RR",RR,24,1,1,0,24,24,31,77.41,0,0,3,0
"Bhuvneshwar Kumar
SRH",SRH,23,16,5,2,13,7.67,29,79.31,0,0,3,0
"Yudhvir Singh
LSG",LSG,21,2,2,0,14,10.5,14,150,0,0,1,2
"Rahul Chahar
PBKS",PBKS,21,9,2,1,16,21,15,140,0,0,3,1
"Shardul Thakur
CSK",CSK,21,9,3,2,17,21,17,123.52,0,0,2,1
"Ashton Turner
LSG",LSG,21,2,2,0,16,10.5,18,116.66,0,0,0,2
"Kagiso Rabada
PBKS",PBKS,20,11,3,2,11*,20,14,142.85,0,0,0,2
"Gulbadin Naib
DC",DC,19,2,1,0,19,19,15,126.66,0,0,1,1
"Marco Jansen
SRH",SRH,18,3,2,1,17,18,13,138.46,0,0,1,1
"Saurav Chauhan
RCB",RCB,18,3,3,0,9,6,15,120,0,0,1,1
"Sumit Kumar
DC",DC,18,4,3,1,9*,9,24,75,0,0,2,1
"Piyush Chawla
MI",MI,15,11,6,2,10,3.75,15,100,0,0,1,1
"Sanvir Singh
SRH",SRH,14,4,3,2,8*,14,12,116.66,0,0,1,0
